student_id,exercise_id,is_correct,spent_time
10,2,True,344
11,2,True,365
28,2,True,280
10,1,True,458
13,2,True,394
11,1,True,552
36,2,True,496
38,2,False,461
28,1,True,483
32,2,False,504
33,2,True,543
11,4,True,692
13,1,True,600
15,2,True,750
10,4,False,786
36,1,True,738
14,2,False,687
28,4,True,705
0,2,False,714
18,2,False,776
32,1,True,750
43,2,True,778
37,2,False,793
27,2,False,799
45,2,True,832
11,3,True,949
32,2,True,845
33,1,False,877
23,2,False,880
37,2,True,863
28,3,True,890
13,4,True,896
38,2,True,894
15,1,False,988
8,2,True,915
20,2,True,948
35,2,True,949
36,4,True,1005
39,2,False,751
19,2,False,1023
42,2,True,647
2,2,True,892
23,2,True,1030
14,2,False,1015
19,2,False,1060
14,1,False,1028
5,2,True,1061
49,2,False,1065
11,0,True,1198
32,4,True,1102
51,2,True,1135
19,2,False,1132
43,1,True,1116
45,1,False,1151
38,1,True,1130
14,1,False,1160
44,2,False,1163
45,1,True,1211
28,0,True,1196
44,2,False,1192
48,2,False,1220
13,3,True,1253
49,2,False,1257
19,2,False,1276
18,2,True,1309
37,1,True,1263
29,2,True,1270
39,2,True,1090
44,2,False,1295
33,1,True,1364
56,2,True,1295
4,2,True,1341
0,2,True,1341
14,1,False,1332
19,2,True,1371
32,3,False,1355
35,1,False,1346
31,2,False,1323
20,1,False,1358
33,4,True,1405
12,2,False,1042
10,4,True,1504
49,2,True,1414
3,2,True,249
42,1,False,1066
10,3,False,1541
43,4,True,1429
41,2,True,1451
44,2,True,1432
15,1,True,1556
48,2,True,1481
26,2,True,1505
40,2,False,1501
56,1,False,1486
20,1,False,1553
38,4,False,1558
5,1,True,1583
45,4,True,1609
2,1,False,1468
20,1,False,1589
23,1,True,1641
3,1,True,479
51,1,False,1737
33,3,True,1744
29,1,True,1683
51,1,False,1755
0,1,True,1736
40,2,True,1726
37,4,True,1764
24,2,True,1761
13,0,True,1776
36,3,True,1820
2,1,True,1672
12,2,True,1463
8,1,True,1802
56,1,True,1761
31,1,True,1777
12,1,True,1475
0,4,False,1819
10,3,True,1929
49,1,False,1826
35,1,False,1819
